time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-24 08:30:00-05:00,MLTrader,3ba0bf051dc243dca47125032d93f6d6,AAPL,sell,stop,fill,1,day,0.0,1,stock,74.31500244140625,3.0,0.0
2020-02-24 08:30:00-05:00,MLTrader,7a1c4e92d76d4c998f5d3e9c69eb110e,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-24 08:30:00-05:00,MLTrader,9db09fd28f104c4fbc17369b833d6c68,AAPL,sell,stop,fill,1,day,0.0,1,stock,74.06437644958496,1.0,0.0
2020-02-24 08:30:00-05:00,MLTrader,ef404d5e94f5431b9c20091bc0af1e30,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-24 08:30:00-05:00,MLTrader,2c816140fe0b460aa419293a5a5cb378,AAPL,sell,stop,fill,1,day,0.0,1,stock,74.31500244140625,1.0,0.0
2020-02-24 08:30:00-05:00,MLTrader,d2a30686784e4ed7a1e3dc37227f1eac,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-24 08:30:00-05:00,MLTrader,64342e072a7343848873852f0fb04ea7,AAPL,sell,stop,fill,1,day,0.0,1,stock,74.31500244140625,2.0,0.0
2020-02-24 08:30:00-05:00,MLTrader,8b6ab6d8d45e4a49b65f468e1ee49180,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-24 08:30:00-05:00,MLTrader,5094c0eb0e3c4c8396a397c831d602da,AAPL,sell,stop,fill,1,day,0.0,1,stock,74.31500244140625,1.0,0.0
2020-02-24 09:30:00-05:00,MLTrader,a7c843019bd94864b6f78b256e654417,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-24 09:30:00-05:00,MLTrader,a7c843019bd94864b6f78b256e654417,AAPL,buy,market,fill,1,gtc,0.0,1,stock,74.31500244140625,22.0,0.0
2020-02-25 09:30:00-05:00,MLTrader,0bcda67bc8c846cf9eecb0b1355c4838,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-25 09:30:00-05:00,MLTrader,0bcda67bc8c846cf9eecb0b1355c4838,AAPL,buy,market,fill,1,gtc,0.0,1,stock,75.23750305175781,11.0,0.0
2020-02-26 09:30:00-05:00,MLTrader,3b4bd3dcc1cc40cabf970912ce47a7ad,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,MLTrader,3b4bd3dcc1cc40cabf970912ce47a7ad,AAPL,buy,market,fill,1,gtc,0.0,1,stock,71.63249969482422,5.0,0.0
2020-02-27 09:30:00-05:00,MLTrader,7746cbabaa1c4dea90867e24708f6f97,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,MLTrader,d1df6b4b88204a04b68af606388a6126,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
