datetime,portfolio_value,cash,positions,return
2020-01-27 08:30:00-05:00,104463.24851989746,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",-0.031803993240071105
2020-01-27 09:30:00-05:00,104463.24851989746,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-01-27 09:30:00-05:00,104463.24851989746,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-01-28 09:30:00-05:00,105318.5963973999,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.008188026790489022
2020-01-29 09:30:00-05:00,109309.08595275879,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.03788969557001609
2020-01-30 09:30:00-05:00,107992.39221954346,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",-0.012045601897946345
2020-01-31 09:30:00-05:00,108123.71937561035,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0012160778492609214
2020-02-01 09:30:00-05:00,108123.71937561035,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-01 09:29:00-05:00,108123.71937561035,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-03 08:30:00-05:00,102523.56523132324,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",-0.05179394656997294
2020-02-03 09:30:00-05:00,102523.56523132324,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-03 09:30:00-05:00,102523.56523132324,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-04 09:30:00-05:00,106231.18601989746,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.03616359595190377
2020-02-05 09:30:00-05:00,108995.90064239502,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.026025451904299723
2020-02-06 09:30:00-05:00,108675.99430847168,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",-0.0029350308776558975
2020-02-07 09:30:00-05:00,108608.6401977539,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",-0.00061976990545487
2020-02-08 09:30:00-05:00,108608.6401977539,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-08 09:29:00-05:00,108608.6401977539,50.544342041015625,"[{'asset': USD, 'quantity': 50.544342041015625}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-10 08:30:00-05:00,106109.95437561035,309.84184204101564,"[{'asset': USD, 'quantity': 309.84184204101564}, {'asset': AAPL, 'quantity': 1347.0}]",-0.023006326362193352
2020-02-10 09:30:00-05:00,106109.95437561035,309.84184204101564,"[{'asset': USD, 'quantity': 309.84184204101564}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-10 09:30:00-05:00,106109.95437561035,309.84184204101564,"[{'asset': USD, 'quantity': 309.84184204101564}, {'asset': AAPL, 'quantity': 1347.0}]",0.0
2020-02-11 09:30:00-05:00,109286.85390411377,152.751845703125,"[{'asset': USD, 'quantity': 152.751845703125}, {'asset': AAPL, 'quantity': 1349.0}]",0.02993969366208349
2020-02-12 09:30:00-05:00,108567.97725616455,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",-0.006577887662316151
2020-02-13 09:30:00-05:00,109485.97766815186,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.00845553574072122
2020-02-14 09:30:00-05:00,109671.59854827881,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0016953849623515538
2020-02-15 09:30:00-05:00,109671.59854827881,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0
2020-02-15 09:29:00-05:00,109671.59854827881,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0
2020-02-18 08:30:00-05:00,106505.84690032959,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",-0.028865738166072408
2020-02-18 09:30:00-05:00,106505.84690032959,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0
2020-02-18 09:30:00-05:00,106505.84690032959,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0
2020-02-19 09:30:00-05:00,108071.85184417725,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.014703464546065304
2020-02-20 09:30:00-05:00,108959.47849212647,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.008213300991908978
2020-02-21 09:30:00-05:00,107606.10019622803,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",-0.012420932209181168
2020-02-22 09:30:00-05:00,107606.10019622803,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0
2020-02-22 09:29:00-05:00,107606.10019622803,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",0.0
2020-02-24 08:30:00-05:00,100397.10514007568,71.85184417724611,"[{'asset': USD, 'quantity': 71.85184417724611}, {'asset': AAPL, 'quantity': 1350.0}]",-0.06699429719138772
2020-02-24 09:30:00-05:00,100362.9669141388,3233.2587232208252,"[{'asset': USD, 'quantity': 3233.2587232208252}, {'asset': AAPL, 'quantity': 1307.0}]",-0.0003400319749184977
2020-02-24 09:30:00-05:00,100362.9669141388,3233.2587232208252,"[{'asset': USD, 'quantity': 3233.2587232208252}, {'asset': AAPL, 'quantity': 1307.0}]",0.0
2020-02-25 09:30:00-05:00,101588.97022529603,1598.3286695098877,"[{'asset': USD, 'quantity': 1598.3286695098877}, {'asset': AAPL, 'quantity': 1329.0}]",0.01221569418335422
2020-02-26 09:30:00-05:00,96758.26572700501,770.7161359405518,"[{'asset': USD, 'quantity': 770.7161359405518}, {'asset': AAPL, 'quantity': 1340.0}]",-0.04755146634105911
2020-02-27 09:30:00-05:00,94932.43068977357,412.5536374664307,"[{'asset': USD, 'quantity': 412.5536374664307}, {'asset': AAPL, 'quantity': 1345.0}]",-0.01887006782844658
2020-02-28 09:30:00-05:00,94799.77203269958,94285.25201316833,"[{'asset': USD, 'quantity': 94285.25201316833}, {'asset': AAPL, 'quantity': 8.0}]",-0.0013974008261465887
2020-02-29 09:30:00-05:00,94799.77203269958,47656.875243148796,"[{'asset': USD, 'quantity': 47656.875243148796}, {'asset': AAPL, 'quantity': 733.0}]",0.0
